buuid,txn_vol,accepted_txn,failed_txn,capital_granted
1504167529104-1d09a177-9649-4c2d-a395-d47be5bea2fa,54189.99,69,17,1
1505579830388-bc0c07c6-bc0d-4526-b1fa-5604b9db9bdd,14953.8,165,54,1
1508228689414-d0520142-aa9c-41ca-b519-1a2151744996,79181.5,168,33,1
1508924055813-8f296075-851c-44d6-8a9b-d3cf7cd1f4fe,162499.35,1181,182,1
1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,327956.27,3714,520,1
1519735016389-5eed7ebe-491e-428b-af79-4a66b1214e88,9810.0,32,0,1
1520872872700-02d981e0-1bfc-46b2-a93e-8a9f3982a13a,113693.3,645,126,1
1526468123551-5f6fe345-2b5c-4b20-8370-27329e2a7dd3,94654.85,284,51,1
1526564203564-dbfdfe1a-4ae0-4324-9095-d50c86db098d,49830.0,58,17,1
1505748385878-56d9c5ff-c16e-4141-bb72-89dffe73a757,35455.0,159,14,1
1528464253452-0a5b26b2-57d1-4b7a-8c3c-b4ab9e4cf748,25537.0,87,26,1
1528192220770-2a4294be-1bdc-43dc-bdba-f52c624043fb,23490.0,196,23,1
1533210323678-53668fb7-4cfd-4aba-b12d-92dd22287c3f,107505.0,188,33,1
1533123787678-6a13076f-a378-4c08-b8d7-15366aec5cab,34700.0,80,17,1
1534252964308-258ed1ea-70ca-4286-b278-6835d9b23f29,125210.0,325,69,1
1535128340189-5a4b1a84-b73a-4140-9ccd-212b547a62bc,622816.5800000001,1054,106,1
1457439624505-d2a80ac7-cd2c-4bc9-9b8f-50cccebcd1ff,130084.22,222,39,1
1459491511994-dc90f63e-59f0-4ab4-acc7-f3ead96a4f8f,125833.0,97,17,1
1465204117992-03092a03-2d64-44d6-82f2-adbcec6d0c3e,980992.85,3652,461,1
1465387915291-915bc0bd-f71a-47da-a44b-ff50dcbfb358,36754.0,53,9,1
1478088675332-88ac5556-ed19-4b1d-b397-805b0da71894,11793.0,26,4,1
1478954518173-498e0512-7304-4e8e-93fb-0aa5eda99b5c,26173.0,79,4,1
1487250442955-e2f5b0dc-d1fe-40b9-a672-1f7813c04e99,671264.0,232,129,1
1471982524249-99db0837-689d-4fbe-8382-77bd0173bb81,222025.0,214,79,1
1492613934577-44de2776-81e4-464d-9b30-6c5f4d418d2c,117959.04999999999,509,151,1
1496749819797-425dc084-d946-4b85-8635-be8a2295cc75,38952.0,95,14,1
1501141094390-bce1f0c9-275c-4d12-b628-bc6747d59c9f,691984.8,5513,466,1
1502069689017-3f84eb01-3272-481c-87d1-c4f4b5928c7d,48440.0,59,36,1
1503319517127-53ff80be-51b8-40f0-a3db-4e99dc49d31f,66461.0,155,21,1
1503477499126-f63f9153-518f-4a6a-911d-04023d83625a,6810.0,69,8,1
1509718747236-b8991551-a077-43f9-9fff-30c207351aff,27940.0,35,9,1
1510553984215-099549e6-9688-4033-bb24-a7110c5e3067,18315.0,43,8,1
1513254939852-32e8673d-0222-49e3-9d7b-78771e8f3f7e,308209.85,316,39,1
1515156330093-215f2f73-41db-4385-ae9d-0b361f968c33,106611.0,528,27,1
1478104648303-7dd67d2b-1d30-4542-aede-9954876de0ac,119027.6,261,82,1
1515400213268-b691efc3-8e38-4faf-a983-0650cfaf03a5,49738.0,166,12,1
